City,Lat,Lng,Cloudiness,Humidity,Temperature,Wind Speed
bambous virieux,-20.34,57.76,40,70,86,12.75
coquimbo,-29.95,-71.34,0,93,55.4,3.36
olinda,-2.03,-79.75,75,88,75.2,5.82
avera,33.19,-82.53,1,86,35.6,3.29
los llanos de aridane,28.66,-17.92,20,58,59,3.36
ammon,43.47,-111.97,40,80,33.8,16.11
priego de cordoba,37.44,-4.2,0,93,41,1.12
severo-kurilsk,50.68,156.12,32,100,21.8,7.76
mayskiy,43.63,44.06,90,80,35.6,6.71
nagato,34.35,131.14,75,65,42.8,3.36
raton,36.9,-104.44,1,18,46.4,10.29
sobolevo,54.43,31.9,68,80,19.37,20.51
bethel,60.79,-161.76,1,71,8.6,17.22
hithadhoo,-0.6,73.08,0,100,81.83,6.42
kruisfontein,-34,24.73,80,98,65.9,8.66
talnakh,69.49,88.39,80,91,7.54,17.27
mahibadhoo,3.78,72.97,36,100,81.25,22.08
araxa,-19.59,-46.94,92,98,65.27,3.4
east london,-33.02,27.91,90,93,66.2,8.05
prince rupert,54.32,-130.32,90,100,35.6,4.7
castelo do piaui,-5.32,-41.55,8,90,68.74,4.52
miandrivazo,-19.53,45.46,0,90,83.9,3.62
hami,42.84,93.51,0,60,19.46,3.74
heihe,50.24,127.51,0,41,3.2,4.47
tasiilaq,65.61,-37.64,88,73,26.6,3.36
alcudia,39.85,3.12,20,100,39.2,0.16
touros,-5.2,-35.46,80,89,79.09,11.23
jeremoabo,-10.08,-38.34,0,87,70.27,8.43
vrede,-27.43,29.16,24,78,67.7,1.39
cherskiy,68.75,161.3,0,70,20.59,8.21
insch,57.34,-2.61,12,69,35.6,9.17
tura,25.52,90.21,20,61,69.68,3.18
nelson bay,-32.72,152.14,90,60,69.8,17.22
cayenne,4.94,-52.33,92,88,78.8,5.82
labuan,5.28,115.24,75,78,86,4.7
lebu,8.96,38.73,0,32,69.82,7.2
hudson bay,52.86,-102.4,44,60,-3.27,7.99
saint-felicien,48.65,-72.45,90,70,-0.41,11.41
kodiak,39.95,-94.76,1,45,44.6,19.46
amguri,26.81,94.53,20,60,73.4,5.82
ormara,25.21,64.64,0,84,73.37,7.65
erie,42.13,-80.09,1,72,12.2,6.93
morant bay,17.88,-76.41,20,78,78.8,5.82
ippy,6.26,21.2,0,46,78.95,15.48
ilulissat,69.22,-51.1,48,54,3.2,10.29
thompson,55.74,-97.86,90,76,-5.81,13.87
kavaratti,10.57,72.64,0,100,82.6,8.88
naze,5.43,7.07,20,94,69.8,6.76
lunen,51.78,5.74,90,93,50,18.34
guarapari,-20.67,-40.5,90,100,75.2,5.82
arraial do cabo,-22.97,-42.02,88,100,71.75,10.56
coihueco,-36.63,-71.83,0,62,55.4,12.75
saint-pierre,48.95,4.24,92,93,46.4,19.46
mar del plata,-46.43,-67.52,12,68,52.31,18.95
bato,13.36,123.37,68,96,76.34,4.29
san jose,15.79,120.99,76,83,76.12,3.06
lompoc,34.64,-120.46,1,81,50,3.36
lahaina,20.87,-156.68,1,88,71.6,3.36
cabo san lucas,22.89,-109.91,8,100,71.48,4.41
whitehorse,60.72,-135.06,90,70,-2.21,9.17
fairbanks,64.84,-147.72,1,84,1.4,8.05
liverpool,53.41,-2.98,40,86,42.8,20.8
vardo,39.62,-77.74,1,61,21.2,9.17
hastings,-39.64,176.84,0,69,74.99,17.05
rawson,-43.3,-65.11,0,36,55.28,16.49
badarpur,24.87,92.56,0,64,73.64,3.06
adrar,27.87,-0.29,40,23,62.6,11.41
honiara,-9.43,159.96,75,83,82.4,3.36
isangel,-19.55,169.27,12,97,83.12,3.83
grand forks,47.91,-97.06,1,61,17.6,19.46
meulaboh,4.14,96.13,24,100,83.98,8.75
yulara,-25.24,130.99,75,65,82.4,8.05
telde,27.99,-15.42,20,71,55.4,5.82
chernyshevskiy,63.01,112.47,56,75,-7.38,4.5
shima,34.34,136.82,75,48,44.6,12.75
rocha,-34.48,-54.34,20,96,63.23,5.84
tuyen quang,21.82,105.22,88,98,50.81,3.04
gondanglegi,-7.75,112.01,76,81,79.12,3.27
vila franca do campo,37.72,-25.43,75,62,57.2,6.93
chilca,-13.22,-72.34,75,81,48.2,2.24
hatillo,18.49,-66.83,24,94,75.7,10.65
inhambane,-23.87,35.38,40,70,86,13.87
loncoche,-39.37,-72.63,0,83,41.36,3.38
san jeronimo,-13.65,-73.37,20,100,40.15,1.92
westport,53.8,-9.52,40,80,33.8,23.04
xining,36.62,101.77,0,20,25.43,3.15
itaqui,-29.13,-56.55,32,84,69.35,14.34
vila velha,-3.71,-38.6,40,78,80.6,13.87
abnub,27.27,31.15,0,81,50,6.93
aklavik,68.22,-135.01,40,67,-25.61,2.24
luderitz,-26.65,15.16,0,68,71.6,21.92
fortuna,38.18,-1.13,20,93,50,8.05
juneau,58.3,-134.42,75,62,23,2.71
camocim,-2.9,-40.84,88,94,77.27,10.2
olden,61.84,6.81,75,86,42.8,4.7
kota kinabalu,5.98,116.07,75,70,89.6,2.24
taltal,-25.41,-70.49,48,99,55.22,1.03
faanui,-16.48,-151.75,76,100,83.03,7.29
katsuura,33.93,134.5,75,45,42.8,8.05
el alto,-16.5,-68.19,75,93,44.6,2.24
norman wells,65.28,-126.83,75,66,-32.81,2.24
geraldton,49.72,-86.95,90,92,12.2,8.05
whitianga,-36.83,175.7,92,98,72.14,21.72
sile,35.56,-106.37,1,40,42.8,2.37
peabiru,-23.91,-52.35,0,83,69.8,9.17
egvekinot,66.32,-179.17,0,58,-2.16,2.37
orumiyeh,37.55,45.08,20,50,28.4,3.71
viedma,-40.81,-62.99,0,65,53.96,9.42
banda aceh,5.56,95.32,76,100,77.72,1.14
constitucion,23.99,-104.67,12,78,34.48,2.37
karratha,-20.74,116.85,92,32,93.4,11.68
honningsvag,70.98,25.97,20,78,14,11.41
russell,-33.01,-68.8,40,60,73.4,6.93
nioro,13.79,-15.05,0,37,69.26,13.67
abu samrah,35.3,37.18,0,89,54.59,4.61
makueni,-1.8,37.62,0,59,77.99,6.4
maniitsoq,65.42,-52.9,64,100,7.93,4.38
arona,45.76,8.56,90,93,42.8,3.36
tobane,-21.91,28.04,0,61,80.6,3.36
tiksi,71.64,128.87,0,76,-37.71,4.61
townsville,-19.26,146.82,0,58,87.8,8.05
salta,-24.79,-65.41,90,94,71.6,3.36
hof,50.32,11.92,75,86,37.4,13.87
meybod,32.25,54.02,20,85,39.2,2.24
verkhniy avzyan,53.53,57.54,0,60,9.1,7.96
varzea da palma,-17.6,-44.73,92,100,68,4.05
verkh-usugli,52.7,115.17,20,63,-1.57,4.16
omis,43.44,16.69,0,93,42.8,1.59
arlit,18.74,7.39,0,74,64.31,4.61
dhemaji,27.48,94.56,20,56,73.4,3.36
bubaque,11.28,-15.83,36,45,64.4,9.17
luganville,-15.51,167.18,92,100,79.88,7.74
namatanai,-3.66,152.44,92,97,84.38,12.44
dikson,73.51,80.55,88,99,7.57,13.11
mount gambier,-37.83,140.78,0,51,62.03,8.77
marystown,47.17,-55.16,92,85,45.77,32.46
bayan,47.25,107.54,56,61,8.33,6.96
kasangulu,-4.59,15.17,90,83,78.8,2.24
inta,66.04,60.13,80,72,12.83,5.06
huilong,28.89,110.18,68,72,37.04,2.71
boyolangu,-8.09,111.9,76,81,79.12,3.27
nadym,65.53,72.51,24,81,6.4,12.21
tautira,-17.73,-149.15,75,74,80.6,3.36
mbandaka,0.05,18.26,32,74,84.56,2.37
stillwater,36.12,-97.06,1,39,51.8,13.87
kodinsk,58.6,99.18,32,58,2.21,5.06
kavieng,-2.57,150.8,48,100,82.4,11.77
juba,57.82,26.93,44,79,24.8,1.12
banes,20.96,-75.72,75,94,71.6,3.36
uthal,25.81,66.62,0,49,78.98,4.83
alice springs,-23.7,133.88,24,36,93.2,10.29
santona,43.44,-3.46,75,81,46.4,9.17
hay river,60.82,-115.79,20,75,-18.41,4.7
kushima,31.5,131.29,75,100,48.2,1.12
rio grande,-32.03,-52.1,76,91,72.37,9.19
victoria,5.28,115.24,75,78,84.2,4.7
sankt wendel,49.47,7.17,90,100,46.4,10.29
saint george,39.45,22.34,0,66,50,5.82
biltine,14.53,20.93,0,30,72.86,16.91
chuy,-33.69,-53.46,0,95,65.35,6.51
puri,-7.54,112.45,40,83,82.4,12.75
redding,40.59,-122.39,1,93,44.6,1.16
laguna,27.52,-110.01,32,67,55,2.26
hamilton,32.3,-64.78,75,59,62.6,25.28
port elizabeth,39.31,-74.98,1,44,23,6.93
bose,45.46,8.01,75,93,41,1.12
richards bay,-28.77,32.06,44,70,79.97,16.35
athens,34.8,-86.97,1,85,28.4,8.63
mao,19.55,-71.08,75,100,69.8,5.64
ossora,59.24,163.07,88,97,32,14.23
amapa,15.09,-87.97,92,100,64.76,2.15
dicabisagan,17.08,122.42,76,100,73.45,4.16
usak,38.67,29.41,0,86,33.8,2.24
raymond,43.04,-71.18,20,52,19.4,12.75
rio gallegos,-51.62,-69.22,40,65,44.6,13.87
chamrajnagar,11.92,76.95,0,39,80.6,9.17
scarborough,54.28,-0.41,44,93,39.2,17.22
waipawa,-39.94,176.59,92,49,71.87,3.6
zhezkazgan,47.8,67.71,75,91,-4.01,6.71
mildura,-34.18,142.16,92,30,74.35,12.21
ilasan,14.06,121.63,32,98,78.8,13.22
pocone,-16.26,-56.62,64,98,72.73,2.93
skjervoy,70.03,20.97,0,62,24.8,13.87
whitehaven,35.03,-90.03,90,55,35.6,9.17
tevriz,57.51,72.4,0,63,12.29,4.16
beringovskiy,63.05,179.32,56,100,15.26,5.5
san cristobal,-0.39,-78.55,75,87,50,3.36
pevek,69.7,170.27,0,65,3.56,2.59
bonthe,7.53,-12.5,0,76,80.51,3.15
ruteng,-8.61,120.46,80,90,75.38,9.64
tarakan,3.3,117.63,56,86,84.7,6.17
puro,13.13,123.76,56,87,78.26,5.39
saint-augustin,44.83,-0.61,76,93,44.6,3.36
mankono,8.06,-6.19,0,41,79.7,4.27
gladstone,-23.84,151.26,8,57,86.54,8.52
seddon,-41.67,174.07,64,81,69.58,10.42
eirunepe,-6.66,-69.87,56,96,74.57,2.15
lebedinyy,58.52,125.52,64,64,-9.36,2.82
amahai,-3.31,129,88,89,88.52,11.21
nemuro,43.32,145.57,20,38,23,4.7
zhangye,38.94,100.46,24,58,16.57,5.5
wanning,48.64,13.53,75,93,35.6,4.7
srednekolymsk,67.46,153.71,20,66,3.11,5.61
bilibino,68.06,166.44,0,58,1.63,2.26
homer,59.64,-151.54,75,61,21.2,9.17
finschhafen,-6.6,147.85,88,57,84.07,0.69
diamantino,-14.4,-56.44,88,97,72.32,2.71
maiduguri,11.84,13.15,0,30,70.48,10.87
porto novo,-23.68,-45.44,75,93,59,2.71
saldanha,41.42,-6.55,0,74,29.17,3.38
praia da vitoria,38.73,-27.07,75,77,59,11.43
nabire,-3.36,135.5,32,79,74.62,0.47
caravelas,-17.73,-39.27,88,99,81.37,18.37
sorong,-0.86,131.25,64,100,81.05,4.38
visnes,59.36,5.22,75,93,39.2,18.34
babati,-4.21,35.75,56,56,81.05,4.61
matamoros,25.87,-97.51,1,87,51.8,8.05
ornes,49.25,5.47,92,87,46.4,20.8
matara,-13.74,-72.9,20,100,40.15,1.92
noumea,-22.28,166.46,92,74,82.4,5.82
belaya gora,68.54,146.19,64,64,-21.51,3.6
carutapera,-1.2,-46.02,100,92,78.62,5.84
deputatskiy,69.3,139.9,48,65,-23.31,2.82
sao joao da barra,-21.64,-41.05,92,100,74.17,5.39
manhattan,39.18,-96.57,1,36,48.2,16.11
xalpatlahuac,17.47,-98.62,64,74,41.45,2.15
te anau,-45.41,167.72,88,54,67.42,13.56
atasu,48.68,71.64,20,82,12.52,5.61
senj,45.35,13.91,90,93,44.6,1.12
guerrero negro,27.97,-114.04,0,63,54.95,3.6
guanambi,-14.22,-42.78,80,97,66.7,2.93
sibolga,1.74,98.78,44,62,82.94,2.71
vostok,46.45,135.83,48,72,-3.37,3.6
ondangwa,-17.91,15.98,0,61,78.8,3.36
mogadishu,2.04,45.34,40,70,84.2,19.46
hambantota,6.12,81.12,48,94,83.35,16.58
samarai,-10.62,150.67,80,98,84.02,26.31
ciudad bolivar,8.12,-63.55,24,71,76.1,11.99
karasburg,-28.01,18.75,8,69,69.44,5.17
gramada,42.4,21.69,0,76,35.6,1.81
grabovo,53.37,45.07,92,91,16.16,14.45
kiruna,67.86,20.23,90,92,12.2,3.04
narrabri,-30.33,149.78,36,61,75.47,3.71
fort nelson,58.81,-122.69,90,76,-7.61,3.36
hasaki,35.73,140.83,75,39,44.6,5.82
unity,52.44,-109.15,36,82,1.94,14
leningradskiy,69.38,178.42,8,83,13.64,12.66
balikpapan,-1.24,116.86,20,79,86,6.93
manavalakurichi,8.13,77.3,20,70,87.8,8.05
yuli,10.52,9.86,0,51,65.03,5.39
kutum,14.2,24.66,0,41,59.95,12.77
sao filipe,14.9,-24.5,32,100,68.09,20.27
margate,-43.03,147.26,20,38,59,18.34
portland,45.52,-122.67,90,100,39.2,2.37
mnogovershinnyy,53.94,139.92,20,47,-2.43,7.07
jutai,-1.71,-47.89,56,98,73.13,2.48
saint-francois,46.42,3.91,0,100,37.4,5.82
devils lake,48.11,-98.87,1,78,12.2,19.46
tsaratanana,-16.8,47.65,92,97,78.13,3.6
santo tomas,17.4,121.77,80,92,73.18,4.5
traverse city,44.76,-85.62,90,73,28.4,8.05
alofi,-19.06,-169.92,88,88,82.4,14.99
solnechnyy,50.72,136.64,0,79,-12.78,5.73
novopavlovka,51.21,109.22,44,60,2.75,7.18
zanjan,36.67,48.48,0,63,26.6,11.41
ayan,40.67,33.6,12,72,39.43,3.38
davila,18.47,120.58,20,55,87.8,6.93
hirara,24.8,125.28,75,88,69.8,18.34
peruibe,-24.32,-47,76,100,76.19,9.53
san ramon,12.92,-85.84,48,86,65.48,5.17
oxbow,49.23,-102.17,90,84,8.6,12.75
eureka,40.8,-124.16,1,87,44.6,3.36
kudahuvadhoo,2.67,72.89,64,100,81.5,11.65
surt,31.21,16.59,92,93,58.64,2.93
popondetta,-8.77,148.24,92,71,75.56,1.7
ilihan,10.91,123.97,40,58,86,9.17
sete,27.58,86.44,0,59,52.34,1.36
gornyy,51.76,48.54,92,82,7.79,20.49
ballinrobe,53.62,-9.22,40,80,33.8,23.04
lamar,38.09,-102.62,1,23,51.8,14.99
salalah,17.01,54.1,0,26,78.8,13.87
baykit,61.68,96.39,24,70,-6.21,2.82
camacha,33.08,-16.33,40,72,60.8,24.16
auki,12.18,6.51,0,30,70.34,17.92
souillac,45.6,-0.6,92,81,46.4,4.7
san angelo,31.46,-100.44,1,34,51.8,24.16
port macquarie,-31.43,152.91,90,88,66.2,12.75
sotouboua,8.56,0.98,0,37,76.15,8.19
campo verde,-8.47,-74.81,40,88,78.8,4.7
chifeng,42.27,118.96,0,39,18.37,5.95
nouadhibou,20.93,-17.03,0,76,57.2,9.17
virginia beach,36.85,-75.98,1,53,26.6,11.41
bluefields,12.01,-83.77,92,90,74.98,6.73
klaksvik,62.23,-6.59,48,69,35.6,28.86
edd,13.93,41.69,0,29,84.88,6.73
paso de los toros,-32.81,-56.52,12,87,68.32,11.99
ostrovnoy,68.05,39.51,68,91,10.63,2.71
hokitika,-42.72,170.96,80,100,67.15,15.9
lazaro cardenas,28.39,-105.62,8,75,37.76,3.04
bodden town,19.28,-81.25,80,100,77.23,23.85
alta floresta,-9.87,-56.08,68,98,71.96,2.15
rosetown,51.55,-107.99,56,73,4.64,11.99
recreio,-21.52,-42.47,92,100,68.72,4.16
sola,62.78,29.36,90,92,14,4.7
praia,-20.25,-43.81,90,88,69.8,3.36
moranbah,-22,148.04,56,35,90.82,4.16
pauini,-7.71,-67,64,96,75.7,2.71
grindavik,63.84,-22.43,0,74,30.2,14.99
santiago,-33.44,-70.65,0,55,64.4,3.36
lasa,34.92,32.53,20,72,59,4.7
sept-iles,50.2,-66.38,90,49,3.2,20.8
tokur,53.13,132.9,0,55,-20.56,2.59
dakar,14.69,-17.45,8,82,62.6,14.99
half moon bay,37.46,-122.43,90,87,53.6,4.7
bandarbeyla,9.49,50.81,0,100,75.97,19.6
san felipe,-32.75,-70.73,0,55,64.4,3.36
botad,22.17,71.67,0,31,90.28,5.61
puerto escondido,15.86,-97.07,32,100,81.23,7.52
burnie,-41.05,145.91,0,100,65.17,9.19
pitimbu,-7.47,-34.81,40,83,77,4.7
bronnoysund,65.46,12.2,0,64,33.8,27.51
broome,52.47,1.45,20,87,46.4,19.46
porbandar,21.64,69.61,0,31,87.8,5.28
hofn,64.25,-15.21,0,100,35.2,24.96
torquay,50.47,-3.52,20,81,48.2,16.11
ayagoz,47.96,80.43,0,84,15.71,12.21
henties bay,-22.12,14.28,20,100,64.72,4.27
havelock,34.88,-76.9,1,58,28.4,11.43
naples,26.14,-81.79,1,76,48.2,8.05
port blair,11.67,92.75,0,100,81.28,11.65
ekhabi,53.51,142.97,48,88,2.12,8.52
duluth,46.77,-92.13,90,68,28.4,3.36
jinsha,24.49,118.41,90,93,53.6,2.24
kinablangan,7.69,126.55,88,100,75.65,14
cap malheureux,-19.98,57.61,40,70,86,12.75
louis trichardt,-23.04,29.91,0,5,80.6,11.41
listvyanka,51.86,104.86,40,65,8.6,13.42
oleksandrivka,48.74,37.49,80,95,31.78,19.93
baijiantan,45.63,85.18,0,65,-8.91,2.71
nizhniy kuranakh,58.84,125.49,64,64,-9.36,2.82
aberdeen,45.47,-98.49,40,64,37.4,14.99
chapais,49.78,-74.86,75,75,-20.21,3.36
santa cruz,36.97,-122.03,1,76,53.6,4.7
bontang,0.12,117.47,88,91,84.29,7.18
santa cruz del sur,20.71,-78,80,81,71.87,13.67
kalmar,56.66,16.36,40,93,37.4,11.41
vangaindrano,-23.35,47.6,0,80,89.24,4.72
oromocto,45.85,-66.47,90,78,10.4,11.41
kawalu,-7.38,108.21,88,79,74.75,1.48
mabama,8.94,-11.9,0,57,78.08,4.72
san policarpo,12.18,125.51,80,93,80.38,10.76
san ignacio,-36.8,-72.03,0,66,53.6,11.41
gigmoto,13.78,124.39,88,100,79.3,9.31
barreirinhas,-2.75,-42.83,0,90,77.72,9.53
fare,-16.7,-151.02,68,97,83.21,6.62
chumikan,54.72,135.31,32,49,-2.92,14.56
nome,30.04,-94.42,1,86,42.8,3.18
coihaique,-45.58,-72.07,90,81,48.2,6.93
maumere,-8.63,122.22,56,98,81.55,21.72
purpe,64.48,76.69,88,83,5.81,12.77
itaituba,-4.26,-55.99,68,92,75.52,2.15
villarrica,-39.28,-72.23,0,90,35.78,1.92
ixtapa,20.71,-105.21,90,73,69.8,1.92
sari,36.57,53.06,0,45,48.2,2.24
mattru,7.62,-11.83,0,65,78.67,3.71
quatre cocos,-20.21,57.76,40,70,86,12.75
kungurtug,50.6,97.53,32,50,-7.83,8.86
crotone,39.09,17.12,0,100,54.41,1.81
siguiri,11.42,-9.17,8,32,79.07,9.42
pyaozerskiy,65.83,31.17,80,90,16.79,4.61
beya,53.05,90.92,0,54,11.3,1.92
waingapu,-9.65,120.26,88,82,79.61,10.42
elban,50.1,136.51,0,60,-13,6.73
gushikawa,26.35,127.87,75,64,68,9.17
itoman,26.12,127.67,75,64,68,9.17
miri,10.31,9.75,0,33,68.54,7.18
santa luzia,-19.77,-43.85,90,88,69.8,3.36
west monroe,32.52,-92.15,1,69,35.6,4.7
vaasa,63.1,21.62,36,92,21.2,4.7
soe,57.91,26.05,0,79,24.8,1.12
galesong,-5.32,119.37,20,66,87.8,9.17
birjand,32.86,59.22,40,86,33.8,5.73
narsaq,60.91,-46.05,0,57,17.6,4.7
pedasi,7.53,-80.03,0,97,81.82,23.85
